V1,V2,V3,V4,V5,V6,V7
5725.12,5725.12,4204.53,5725.14,5725.12,5725.12,25.53
115947.0,115947.0,81673.07,115947.0,115947.0,115947.0,29.56
236651.9,240500.0,185629.75,236651.9,236651.9,236651.9,21.56
390003.95,420831.4,351003.56,390003.95,390003.95,390003.95,10.0
411707.45,412033.4,350193.21,411707.45,411707.45,411707.45,10.0
349179.74,363678.6,314261.77,349179.74,349179.74,349179.74,10.0
351480.26,371163.0,315849.28,351480.26,351480.26,91666.16,10.0
68500.0,68500.0,45511.4,68500.0,68500.0,68500.0,33.56
385295.0,403200.0,322362.84,385295.0,385295.0,385295.0,20.8
36360.33,36360.33,29066.45,36360.33,36360.33,36360.33,20.06
3889.29,6366.01,2994.75,3889.29,3889.29,3889.29,23.0
71644.9,119408.17,53203.5,71644.9,71644.9,71644.9,25.74
172841.44,190192.76,128352.05,172841.44,172841.44,114115.66,25.74
31176.0,31176.0,21046.92,31176.0,31176.0,31176.0,32.49
347300.0,347300.0,234462.16,347300.0,347300.0,347300.0,32.49
37600.0,37600.0,25383.76,37600.0,37600.0,37600.0,32.49
277330.0,277330.0,187225.48,277330.0,277330.0,277330.0,32.49
19485.34,19485.34,14469.58,19485.34,19485.34,19485.34,25.74
4794.74,4794.74,3560.51,4794.74,4794.74,4794.74,25.53
36794.6,36794.6,27323.23,36794.6,36794.6,36794.6,25.74
3758.48,3758.48,2791.0,3758.48,3758.48,3758.48,25.74
25561.16,25561.16,18981.41,25561.16,25561.16,25561.16,25.74
241203.2,241203.2,172136.11,241203.2,241203.2,241203.2,28.63
14000.0,20488.0,10396.4,14000.0,14000.0,14000.0,25.74
11712.45,18339.0,8697.67,11712.45,11712.45,11712.45,25.74
28253.4,40362.0,20980.97,28253.4,28253.4,28253.4,25.74
47570.34,38704.0,35325.73,47570.34,47570.34,47570.34,25.74
23249.16,21897.0,17264.56,38577.06,38577.06,27413.74,25.74
9618.0,13169.0,7142.21,9618.0,9618.0,9618.0,25.53
213360.0,304812.0,160933.39,213360.0,213360.0,213360.0,24.57
785046.65,785046.65,603803.52,785046.65,785046.65,785046.65,28.63
84008.47,143891.62,68046.86,84008.47,84008.47,84008.47,19.0
697337.0,701486.2,571816.34,697337.0,697337.0,697337.0,18.0
776314.0,816392.7,764217.0,776314.2,776314.2,776314.2,15.0
1343328.74,1853795.0,985130.13,1343328.74,1343328.74,1343328.74,26.67
69854.46,77942.62,51224.28,69854.46,69854.46,69854.46,26.67
67741.2,70423.0,49680.39,67741.2,67741.2,67741.2,26.66
186815.29,179894.9,149536.67,186815.29,186815.29,186815.29,19.95
500000.0,500000.0,390600.0,500000.0,500000.0,500000.0,21.88
133953.6,145813.0,105145.21,133953.6,133953.59,133953.59,21.51
570595.64,573223.09,412711.83,570595.64,570595.64,570595.64,27.67
271646.0,271633.0,194870.8,271646.0,271646.0,271646.0,28.26
49750.0,56700.85,42525.64,49550.0,49550.0,49550.0,30.0
471088.27,457650.8,353316.2,471088.27,471088.27,471088.27,27.9
120575.0,107315.25,87289.4,120575.0,120575.0,120575.0,27.61
129606.0,77605.57,88637.95,129606.0,129606.0,129606.0,31.61
73286.0,72229.91,50177.23,73286.0,73286.0,73286.0,31.53
142370.23,113323.25,115319.89,142370.23,142370.23,142370.23,19.0
111018.55,176100.0,89925.02,111018.55,111018.55,111018.55,19.0
32450.0,32450.0,26599.0,32450.0,32450.0,32450.0,18.03
141656.01,197850.0,120407.61,141656.01,141656.01,141656.01,15.0
206758.36,232582.65,167474.27,206758.36,206758.36,206758.36,19.0
1214620.86,1215723.97,773780.4,1215723.97,1215723.97,1215723.97,27.67
136843.0,136843.0,110842.83,136843.0,136843.0,136843.0,19.0
89000.0,89000.0,72090.0,89000.0,89000.0,89000.0,19.0
92975.0,92975.0,75309.75,92975.0,92975.0,92975.0,19.0
90920.0,90920.0,73645.2,90920.0,90920.0,90920.0,19.0
97472.0,97472.0,79405.36,97472.0,97472.0,97472.0,18.54
96096.0,96096.0,78209.88,96096.0,96096.0,96096.0,18.61
198391.0,198391.0,160696.71,198391.0,198391.0,198391.0,19.0
199236.0,199236.0,162889.1,199236.0,199236.0,199236.0,18.24
90388.0,90388.0,74246.5,90388.0,90388.0,90388.0,17.86
93213.0,93213.0,75502.52,93213.0,93213.0,93213.0,22.85
66532.6,66532.6,53891.41,66532.6,66532.6,66532.6,19.0
28158.12,38978.0,19279.86,28158.12,28158.12,28158.12,31.53
39337.28,55496.0,26934.24,39337.28,39337.28,39337.28,31.53
35352.79,48934.0,18340.47,25239.68,35352.79,35352.79,29.0
20038.1,32595.0,13207.6,20038.1,20038.1,20038.1,34.09
49538.74,39381.0,22155.32,45233.51,49538.74,49538.74,29.0
55528.46,41131.0,25433.29,51960.16,55528.46,55528.46,31.53
72101.64,81488.0,41261.77,72101.64,72101.64,72101.64,29.0
127711.55,73908.0,46968.49,143850.86,127711.55,127711.55,29.0
53321.14,61092.0,36508.98,53321.14,53321.14,53321.14,31.53
134593.31,86302.18,109020.41,134593.31,134593.31,134593.31,19.0
110977.97,84059.01,89892.16,110977.97,110977.97,110977.97,19.0
39493.51,76806.0,31989.74,39493.51,39493.51,39493.51,19.0
322344.31,365963.23,261098.89,322344.31,322344.31,322344.31,19.0
245045.4,130000.0,198486.77,245045.4,245045.4,245045.4,19.0
257468.12,300000.0,205739.44,257468.12,257468.12,257468.12,20.09
262806.17,300000.0,212440.34,262806.17,262806.17,262806.17,19.16
44443.29,44443.29,35999.06,44443.29,44443.29,44443.29,19.0
183935.25,172270.0,137951.44,183935.25,183935.25,183935.25,25.0
73971.42,64711.0,56744.47,73971.42,73971.42,73971.42,23.29
543828.61,363073.0,393351.23,543828.61,543828.61,543828.61,27.67
1647775.0,1603778.73,1238981.48,1647775.0,1177279.44,1177279.44,18.0
399732.0,407941.66,319785.6,399732.0,399732.0,399732.0,20.0
366066.0,366066.2,264038.4,366065.05,366065.05,366065.05,27.87
888590.0,888590.5,642895.47,888589.0,888589.0,888589.0,27.65
106027.26,133342.0,75279.35,106027.26,106027.26,106027.26,29.0
87059.79,115647.0,61812.45,87059.79,87059.79,87059.79,29.0
40446.31,57012.0,27693.59,40446.31,40446.31,40446.31,31.53
133907.1,133907.1,107125.68,133907.1,133907.1,133907.1,20.0
89946.0,89946.0,71956.8,89946.0,89946.0,89946.0,20.0
1119495.39,1259612.1,951571.08,1119495.39,1119495.4,1119495.4,15.0
2072.0,2233.0,1698.42,2072.0,2072.0,2072.0,18.03
365194.3,365234.3,263954.84,365194.0,365194.0,365194.0,27.72
68809.63,35786.0,70666.46,68809.63,68809.63,68809.63,31.53
13968.64,20879.0,9917.73,13968.64,13968.64,13968.64,29.0
25152.36,26495.0,17221.82,25152.36,25152.36,25152.36,31.53
79456.22,76954.0,56413.92,119001.88,79456.22,79456.22,29.0
26426.67,31144.0,18094.34,26426.67,26426.67,26426.67,31.53
54692.27,90821.0,42840.03,54692.27,54692.27,54692.27,29.0
56184.98,62333.0,41193.03,56184.98,56184.98,56184.98,29.0
95430.23,112091.0,67755.46,157428.74,95430.23,95430.23,29.0
64080.0,64080.0,45496.8,64080.0,64080.0,64080.0,29.0
157465.0,157464.0,127546.65,157465.0,157465.0,157465.0,19.0
202621.0,202621.0,164123.01,202621.0,202621.0,202621.0,19.0
18464.0,18464.0,14955.84,18464.0,18464.0,18464.0,19.0
78406.0,78406.0,63111.68,78406.0,78406.0,78406.0,19.51
226116.7,226116.7,182123.44,226116.7,226116.7,226116.7,19.46
2422423.36,2350091.28,1886690.2,2524972.41,2524972.41,2524972.41,18.1
358877.0,64080.0,305045.45,358877.0,358877.0,358877.0,15.0
162358.0,182419.6,129886.4,162358.0,132665.0,132665.0,20.0
239366.0,239366.0,191981.11,239366.0,239366.0,239366.0,19.8
238217.0,238217.0,184475.24,238217.0,238217.0,238217.0,22.56
335667.0,335667.0,261825.63,335667.0,335667.0,335667.0,22.0
204344.0,204344.0,159582.86,204344.0,204344.0,204344.0,21.9
