"Beijing","Chengdu","Fuzhou","Guilin","Hangzhou","Jinan","Laohekou","Nanjing","Shanghai","Wuhan","Yancheng","Yinchuan"
1800658,414236,165241,143684,214189,97206,1025,205440,1649208,185537,1320,20155
1827892,430454,172725,128937,210902,99534,1056,196399,1636034,193292,1400,21319
1898967,608510,225779,167955,267213,116450,819,236740,1734858,255695,1802,29519
2188738,571035,205367,235478,308885,122501,747,249003,2029455,225378,1561,22694
2419986,653310,218490,264183,368471,156131,1222,313582,2205963,299103,2261,27144
2281782,649577,220647,269371,350895,148065,1548,294933,2094630,311517,1790,28218
2019023,507447,169360,169212,268301,109724,864,206060,1790878,219060,1673,25645
2423622,694313,202854,233304,360289,140602,1353,282113,2044124,278607,1864,43965
2823920,835159,219522,276319,408008,165304,1450,320009,2282317,312175,2174,44136
2729845,749291,208934,240321,353172,150877,1111,280769,2208207,290525,2120,53156
2764491,794541,251518,312309,417390,163942,1435,322304,2411372,341506,2037,37532
1833512,539355,193214,233605,315257,127994,1145,253522,2205102,256685,1702,28678
1836955,529898,184451,166314,285619,107087,1025,231108,2071849,217321,1758,24324
2142028,646409,226326,138378,313832,134822,1056,251811,2154356,309778,1182,31316
1851698,606162,226776,187834,328078,128338,819,236829,2059021,248354,1504,24961
2170344,629416,219345,225932,377168,142183,747,259826,2277219,254680,1790,27083
1592740,564403,180349,125793,310907,123626,1222,243199,1458423,222275,1378,28096
299935,188757,75351,15642,76834,34937,1548,52332,465783,82339,97,9383
889853,338115,120153,27967,180766,67983,864,134536,989434,158232,594,20985
2076860,773668,219084,149958,402867,148026,1353,315898,2036696,281801,1469,42465
2777960,1021258,267611,254487,516292,205218,1450,408312,2659370,369425,1777,64882
2763873,941942,260103,211601,473594,199344,1111,375637,2579596,354176,1385,65300
2815166,1057644,266029,263012,525240,211342,1435,405139,2843056,374458,1580,51695
2474929,759668,240707,221672,456223,186217,1145,356622,2664361,339522,2035,39831
2428432,669300,241884,148339,390500,157802,1025,289336,2568693,310560,1758,39748
